epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
146,1454.85,0.37905,0.23144,1.01304,0.00112,1,1,0.995,0.95361,0.30297,0.18732,0.97049,0.0013,0.0008516,0.0008516,0.0008516
147,1464.17,0.37565,0.22747,1.01372,0.00105,1,1,0.995,0.95724,0.29847,0.18706,0.96807,0.00142,0.00084368,0.00084368,0.00084368
148,1473.6,0.38167,0.23512,1.02396,0.00108,0.99845,1,0.995,0.95714,0.30333,0.18914,0.96518,0.00155,0.00083576,0.00083576,0.00083576
149,1482.36,0.37502,0.22574,1.01383,0.00088,0.99903,1,0.99494,0.95735,0.29824,0.1849,0.96368,0.00163,0.00082784,0.00082784,0.00082784
150,1491.43,0.37315,0.22747,1.01064,0.00127,0.99902,1,0.99493,0.95769,0.30016,0.18927,0.95936,0.00122,0.00081992,0.00081992,0.00081992
151,1500.37,0.36665,0.22421,1.00367,0.00078,0.99752,1,0.99496,0.95636,0.30184,0.19142,0.96322,0.00115,0.000812,0.000812,0.000812
152,1509.54,0.37676,0.22656,1.01709,0.00126,0.999,1,0.99492,0.95579,0.30482,0.18874,0.95929,0.00131,0.00080408,0.00080408,0.00080408
153,1518.7,0.37418,0.22459,1.01581,0.00087,0.99899,1,0.99494,0.96072,0.29592,0.18191,0.95684,0.00122,0.00079616,0.00079616,0.00079616
154,1528.19,0.37004,0.22477,1.01383,0.00086,0.99902,1,0.99496,0.95207,0.31335,0.18994,0.97001,0.00137,0.00078824,0.00078824,0.00078824
155,1537.07,0.37307,0.2282,1.01305,0.00118,0.99902,1,0.99497,0.95915,0.29908,0.18335,0.96005,0.0012,0.00078032,0.00078032,0.00078032
156,1545.85,0.37156,0.23035,1.01651,0.00085,0.99902,1,0.99498,0.95629,0.30568,0.19125,0.96271,0.00157,0.0007724,0.0007724,0.0007724
157,1554.71,0.37614,0.22736,1.01663,0.00088,0.99903,1,0.99496,0.9558,0.30269,0.18598,0.95998,0.00166,0.00076448,0.00076448,0.00076448
